record_id,species_name,common_name,plant_type,region,country,year,height_m,dbh_cm,wood_density_g_cm3,agb_kg,bgb_kg,carbon_storage_kg,total_CO2eq_stored_kg,annual_C_kg,annual_CO2_kg,annual_growth_rate_pct,co2_absorption_change_rate_pct,mortality_rate,leaf_area_index,canopy_m2,root_depth_m,mean_temp_C,annual_rainfall_mm,soil_type,soil_carbon_percent,altitude_m,latitude,longitude,urban_density_index,land_use_type,maintenance_cost_usd_per_year,policy_zone,iucn_status,biodiversity_value,habitat_loss_percent,protected_area_presence,invasive_risk_score,source
R000011,Betula pendula var6,Silver birch (var6),tree,Asia,Philippines,2012,16.648,16.461,0.543,244.892,67.037,146.607,537.559,1.0988,4.0291,0.75,-2.48,0.0431,1.446,45.795,0.5,28.62,1123.0,Clay,2.059,67.2,-5.009653,16.422044,70.78,campus,95.14,moderate,LC,0.571,8.15,0,0.405,Hybrid-synthetic (modeled from literature distributions)
R000012,Salix babylonica var6,Weeping willow (var6),tree,Africa,Tanzania,2012,14.636,32.83,0.492,775.534,192.213,454.841,1667.751,22.2533,81.5954,4.89,2.61,0.01,3.249,26.425,2.18,26.6,1022.9,Clay,2.63,1287.7,-8.520717,90.313584,18.53,roadside,52.14,low,CR,0.474,17.47,1,0.084,Hybrid-synthetic (modeled from literature distributions)
R000013,Ginkgo biloba var2,Ginkgo (var2),tree,Asia,Vietnam,2015,12.126,48.639,0.513,1470.99,380.075,870.0,3190.001,57.9687,212.5519,6.66,-1.13,0.01,2.675,25.476,3.03,19.77,1923.0,Silty,2.771,0.0,14.186168,-143.595837,36.65,community_garden,12.64,low,VU,0.188,10.53,0,0.194,Hybrid-synthetic (modeled from literature distributions)
R000014,Albizia saman var8,Rain tree (var8),tree,Asia,Vietnam,2017,9.4,39.076,0.617,885.762,187.961,504.65,1850.383,11.1219,40.7804,2.2,0.45,0.0168,4.047,1.0,0.5,23.55,2085.2,Peaty,1.84,728.8,44.231895,-99.505498,36.81,residential_yard,109.09,high,CR,0.723,10.91,0,0.192,Hybrid-synthetic (modeled from literature distributions)
R000015,Citrus sinensis var5,Orange tree (var5),tree,Europe,Germany,2004,12.076,36.954,0.457,753.984,260.422,476.771,1748.16,41.2403,151.2144,8.65,0.98,0.038,5.731,66.249,1.154,20.9,766.7,Peaty,0.547,445.3,49.311262,116.113407,67.14,community_garden,99.75,none,LC,0.334,30.76,1,0.0,Hybrid-synthetic (modeled from literature distributions)
R000016,Mangifera indica,Mango (common),tree,Asia,Vietnam,2005,16.452,64.533,0.634,4343.983,1433.122,2715.239,9955.877,2.7152,9.9559,0.1,0.66,0.0403,2.841,97.178,1.125,21.43,1942.7,Loam-Clay,1.401,0.0,20.604082,42.526167,25.98,natural_forest,23.3,none,EN,0.306,13.2,0,0.213,Hybrid-synthetic (modeled from literature distributions)
R000017,Cedrus deodara var4,Deodar cedar (var4),tree,South America,Colombia,2016,7.509,66.023,0.564,1845.718,513.155,1108.67,4065.123,48.9502,179.4841,4.42,-2.76,0.01,3.204,96.13,2.321,18.39,2691.2,Clay,1.566,838.9,43.483645,161.827425,14.67,urban_park,14.77,none,DD,0.168,19.18,0,0.413,Hybrid-synthetic (modeled from literature distributions)
R000018,Lantana camara var3,Lantana (var3),flower,Europe,Poland,2010,0.594,0.0,,0.23,0.032,0.123,0.451,0.0464,0.1702,37.77,-0.38,0.05,1.192,0.487,0.05,14.02,910.0,Sandy,1.486,62.0,-16.287617,1.230218,5.65,residential_yard,35.17,high,NT,0.611,6.41,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000019,Terminalia brownii,Terminalia (common),tree,Africa,Ethiopia,2023,7.802,39.28,0.537,645.813,207.261,400.945,1470.131,10.5521,38.6909,2.63,-1.55,0.01,2.735,20.544,1.964,32.5,775.7,Clay,0.1,424.1,-57.591456,-64.0515,51.57,garden,17.13,none,DD,0.283,3.89,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000020,Casuarina equisetifolia,Casuarina (common),tree,Oceania,Fiji,2019,9.895,39.364,0.659,1010.876,305.148,618.531,2267.948,11.423,41.8842,1.85,-5.01,0.0428,2.99,109.198,1.562,20.16,481.4,Loam,1.124,242.9,-39.195169,142.835553,5.94,garden,12.51,moderate,NT,0.474,8.18,0,0.046,Hybrid-synthetic (modeled from literature distributions)
R000021,Lantana camara var5,Lantana (var5),flower,South America,Brazil,2019,0.874,0.0,,0.189,0.043,0.109,0.401,0.0574,0.2104,52.52,-1.72,0.0534,0.958,0.269,0.313,20.6,2101.1,Clay,2.543,0.0,-2.263188,11.732196,13.64,community_garden,1.6,none,LC,0.158,18.39,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000022,Alnus glutinosa var2,Alder (var2),tree,Europe,Germany,2001,9.693,55.126,0.481,1416.1,337.31,824.103,3021.71,83.1076,304.7279,10.08,-0.65,0.01,4.328,80.866,0.921,3.8,850.9,Loam,2.488,267.9,-12.906587,113.975798,46.12,roadside,27.35,none,DD,0.348,7.79,0,0.277,Hybrid-synthetic (modeled from literature distributions)
R000023,Hibiscus rosa-sinensis,Hibiscus (common),flower,Africa,Nigeria,2024,0.329,0.0,,0.01,0.001,0.005,0.02,0.0019,0.0068,34.52,0.8,0.3244,1.009,1.171,0.249,14.16,994.2,Loam,0.521,1262.5,45.211876,-56.85057,38.22,garden,51.65,high,CR,0.776,16.04,0,0.392,Hybrid-synthetic (modeled from literature distributions)
R000024,Pinus radiata var5,Monterey pine (var5),tree,Europe,Italy,2019,10.381,15.425,0.497,122.672,28.753,71.17,260.955,5.3126,19.4797,7.46,-2.68,0.0351,3.453,88.554,2.279,0.21,884.3,Silty,1.487,38.3,24.868636,-125.085945,22.03,campus,35.76,low,DD,0.194,29.82,1,0.226,Hybrid-synthetic (modeled from literature distributions)
R000025,Casuarina equisetifolia var8,Casuarina (var8),tree,North America,Mexico,2020,23.321,38.678,0.562,1960.705,664.356,1233.779,4523.856,83.1009,304.7033,6.74,-2.64,0.01,1.812,44.969,1.545,23.24,821.0,Clay,0.988,186.6,-9.728946,149.344524,6.96,community_garden,23.5,high,LC,0.873,9.39,0,0.119,Hybrid-synthetic (modeled from literature distributions)
R000026,Betula pendula var7,Silver birch (var7),tree,Asia,India,2010,23.094,57.531,0.518,3957.389,842.142,2255.78,8271.192,52.0202,190.7407,2.31,1.67,0.0222,1.672,50.028,1.627,18.09,1604.6,Sandy,2.155,242.6,43.414275,160.601566,74.25,campus,24.02,low,LC,0.988,0.22,0,0.157,Hybrid-synthetic (modeled from literature distributions)
R000027,Grevillea robusta var5,Silk oak (var5),tree,Oceania,Fiji,2001,4.041,27.762,0.542,168.69,37.689,96.998,355.66,1.142,4.1874,1.18,3.53,0.0121,4.123,100.862,2.077,19.96,388.9,Loam,1.76,513.9,47.120605,114.279682,19.13,roadside,22.55,none,VU,0.679,2.63,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000028,Grevillea robusta var5,Silk oak (var5),tree,South America,Peru,2008,7.774,6.831,0.363,13.174,3.868,8.01,29.37,0.008,0.0294,0.1,3.24,0.0118,3.727,99.868,0.5,25.83,1475.2,Chalky,3.346,232.1,18.170447,118.707049,50.04,community_garden,16.94,low,CR,0.216,0.0,0,0.219,Hybrid-synthetic (modeled from literature distributions)
R000029,Albizia saman var4,Rain tree (var4),tree,Oceania,Fiji,2018,21.423,14.925,0.611,291.681,98.344,183.311,672.142,7.452,27.3241,4.07,-0.7,0.0278,0.791,1.0,1.0,15.1,1093.4,Silty,1.388,73.4,-0.43605,34.863426,4.98,campus,22.2,high,EN,0.37,18.08,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000030,Milicia excelsa var2,Iroko (var2),tree,Africa,Kenya,2021,13.455,38.597,0.51,1021.898,280.331,612.048,2244.175,15.8755,58.2101,2.59,1.27,0.0295,2.248,122.498,2.066,26.89,1148.7,Silty,1.273,0.0,-1.269004,-100.364601,36.71,green_roof,141.87,high,EN,0.32,18.19,0,0.038,Hybrid-synthetic (modeled from literature distributions)
R000031,Terminalia brownii var8,Terminalia (var8),tree,Oceania,Australia,2021,14.578,39.154,0.583,1301.963,439.182,818.338,3000.574,55.8326,204.7194,6.82,1.43,0.0188,1.468,67.866,1.329,16.14,1443.3,Chalky,2.501,0.0,-32.044863,-171.215719,7.51,roadside,71.23,none,EN,0.915,20.68,0,0.171,Hybrid-synthetic (modeled from literature distributions)
R000032,Populus nigra var6,Black poplar (var6),tree,Africa,Uganda,2006,12.282,59.463,0.468,2032.392,529.01,1203.859,4414.15,91.8961,336.9524,7.63,-1.33,0.0437,5.759,35.486,1.144,20.91,731.9,Loam,0.656,630.9,-39.955926,176.820705,31.46,community_garden,17.91,low,EN,0.271,3.74,1,0.536,Hybrid-synthetic (modeled from literature distributions)
R000033,Prunus africana var6,African cherry (var6),tree,Europe,Spain,2007,12.999,44.849,0.585,1528.761,358.648,887.082,3252.635,47.7999,175.2664,5.39,1.09,0.0107,5.946,29.299,1.021,7.02,749.6,Loam-Clay,0.826,175.3,-28.127995,-133.374628,28.52,roadside,75.88,high,CR,0.5,3.6,1,0.15,Hybrid-synthetic (modeled from literature distributions)
R000034,Jacaranda mimosifolia var3,Jacaranda (var3),tree,Africa,Ethiopia,2017,18.502,17.989,0.563,336.817,87.999,199.664,732.1,16.9442,62.1289,8.49,1.43,0.0122,1.345,20.763,1.473,23.9,893.4,Loam-Clay,4.527,1513.0,40.441599,71.089726,11.61,urban_park,44.2,none,NT,0.228,15.06,1,0.193,Hybrid-synthetic (modeled from literature distributions)
R000035,Pinus radiata var6,Monterey pine (var6),tree,North America,Canada,2015,20.293,47.974,0.53,2475.097,619.437,1454.431,5332.913,73.3852,269.0792,5.05,0.35,0.026,3.176,22.418,1.896,9.19,901.7,Loam,0.511,808.9,15.914627,155.530118,25.89,natural_forest,13.24,none,NT,0.694,17.38,0,0.129,Hybrid-synthetic (modeled from literature distributions)
R000036,Cedrus deodara var3,Deodar cedar (var3),tree,Africa,South Africa,2008,14.451,31.273,0.501,708.673,217.014,435.073,1595.267,0.8355,3.0634,0.19,-2.29,0.0116,3.16,21.995,2.456,24.51,1526.2,Loam-Clay,1.445,760.5,53.23391,-28.898166,68.77,community_garden,40.53,moderate,EN,0.288,25.11,1,0.08,Hybrid-synthetic (modeled from literature distributions)
R000037,Chrysanthemum morifolium var5,Chrysanthemum (var5),flower,Oceania,Fiji,2015,0.1,0.0,,0.081,0.02,0.047,0.174,0.011,0.0404,23.27,1.42,0.2111,1.449,0.417,0.093,17.08,1475.3,Loam,2.506,197.1,35.584475,-6.651953,23.03,campus,3.74,moderate,NT,0.469,25.29,0,0.155,Hybrid-synthetic (modeled from literature distributions)
R000038,Acacia senegal var6,Gum acacia (var6),tree,South America,Chile,2001,14.25,19.852,0.387,217.34,59.494,130.112,477.077,7.9389,29.1094,6.1,0.42,0.0102,2.621,55.124,0.955,17.32,200.0,Chalky,0.1,173.8,24.295796,21.473526,5.02,green_roof,10.29,none,LC,0.305,11.96,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000039,Zinnia elegans var4,Zinnia (var4),flower,North America,Mexico,2016,0.1,0.0,,0.125,0.013,0.065,0.239,0.0292,0.1071,44.89,-0.4,0.05,0.659,0.428,0.09,18.91,1211.7,Loam,1.555,153.3,-50.386218,142.133996,39.44,urban_park,23.8,none,NT,0.708,6.21,1,0.316,Hybrid-synthetic (modeled from literature distributions)
R000040,Grevillea robusta var4,Silk oak (var4),tree,South America,Brazil,2021,19.904,43.027,0.812,2991.684,926.639,1841.612,6752.577,93.1932,341.7084,5.06,-1.8,0.0278,2.218,30.645,1.244,16.56,1480.5,Loam-Clay,3.728,1471.1,-15.475348,175.553843,46.61,campus,11.23,high,LC,0.417,10.89,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000041,Tagetes erecta var4,Marigold (var4),flower,Asia,Thailand,2019,0.69,0.0,,0.255,0.042,0.14,0.512,0.0358,0.1314,25.68,-5.7,0.3201,0.947,1.212,0.05,22.9,1519.7,Sandy,3.377,0.0,-16.891996,33.462307,33.15,roadside,5.36,high,DD,0.554,23.73,1,0.259,Hybrid-synthetic (modeled from literature distributions)
R000042,Zinnia elegans var3,Zinnia (var3),flower,South America,Chile,2010,0.75,0.0,,0.141,0.02,0.076,0.277,0.0368,0.1349,48.66,2.6,0.193,0.353,0.964,0.13,22.86,1561.5,Clay,2.996,0.0,44.192554,-105.897164,15.12,campus,3.56,moderate,NT,0.127,24.23,1,0.185,Hybrid-synthetic (modeled from literature distributions)
R000043,Picea abies var8,Norway spruce (var8),tree,North America,United States,2021,11.57,34.256,0.637,865.296,178.166,490.427,1798.232,17.2876,63.3879,3.53,2.15,0.0267,3.062,44.763,0.672,6.29,904.6,Chalky,2.453,469.7,56.389446,-146.195742,16.8,residential_yard,43.5,high,VU,0.257,2.62,0,0.236,Hybrid-synthetic (modeled from literature distributions)
R000044,Grevillea robusta var6,Silk oak (var6),tree,Africa,South Africa,2019,11.016,45.944,0.44,1023.036,333.221,637.441,2337.283,24.5794,90.1245,3.86,0.71,0.023,3.181,64.598,3.423,27.2,1342.2,Peaty,2.639,1512.2,-11.503161,-62.268062,15.47,roadside,43.04,none,CR,0.384,9.48,0,0.222,Hybrid-synthetic (modeled from literature distributions)
R000045,Cecropia peltata var6,Trumpet tree (var6),tree,South America,Argentina,2004,15.584,49.023,0.514,1926.229,621.546,1197.455,4390.667,9.6388,35.3424,0.8,2.89,0.01,4.651,54.82,0.677,14.69,2742.0,Clay,1.696,0.0,-56.922952,-57.150782,12.38,roadside,24.35,low,VU,0.436,12.59,0,0.323,Hybrid-synthetic (modeled from literature distributions)
R000046,Pongamia pinnata var2,Karanja (var2),tree,Asia,Philippines,2017,1.5,81.572,0.637,635.813,200.111,392.884,1440.576,18.4773,67.75,4.7,-0.32,0.0216,3.714,84.137,2.107,21.69,747.6,Chalky,0.307,159.7,21.734142,-114.682195,17.86,residential_yard,32.34,none,DD,0.181,19.73,0,0.096,Hybrid-synthetic (modeled from literature distributions)
R000047,Chrysanthemum morifolium var4,Chrysanthemum (var4),flower,Europe,Poland,2003,0.359,0.0,,0.182,0.034,0.101,0.372,0.0422,0.1546,41.59,2.5,0.2708,1.699,0.47,0.113,10.84,1161.8,Loam,1.716,326.8,20.105988,-145.607287,49.94,residential_yard,29.33,none,LC,0.907,5.07,0,0.067,Hybrid-synthetic (modeled from literature distributions)
R000048,Chrysanthemum morifolium var4,Chrysanthemum (var4),flower,Asia,Indonesia,2009,1.489,0.0,,0.026,0.003,0.014,0.051,0.0051,0.0187,36.75,-1.07,0.2066,1.317,0.666,0.172,21.26,1778.3,Peaty,1.443,1405.3,9.40643,-81.30216,7.72,campus,2.48,moderate,NT,0.8,0.0,0,0.174,Hybrid-synthetic (modeled from literature distributions)
R000049,Picea abies var8,Norway spruce (var8),tree,South America,Colombia,2008,8.51,14.705,0.472,86.87,18.279,49.42,181.206,1.2085,4.4313,2.45,-1.83,0.0305,1.531,19.638,1.527,26.19,1586.8,Loam-Clay,4.118,631.3,-38.963647,68.401761,18.57,urban_park,16.73,none,DD,0.326,12.96,1,0.0,Hybrid-synthetic (modeled from literature distributions)
R000050,Cinnamomum verum,Cinnamon (common),tree,Europe,United Kingdom,2000,12.488,66.669,0.513,2848.446,718.195,1676.321,6146.511,53.7928,197.2403,3.21,1.42,0.0382,4.31,74.366,0.626,10.85,1495.8,Clay,2.192,328.7,-23.337083,-37.086654,18.19,garden,27.78,moderate,NT,0.801,3.1,0,0.136,Hybrid-synthetic (modeled from literature distributions)
R000051,Cordia africana var3,Cordia (var3),tree,South America,Colombia,2017,14.331,84.86,0.549,5668.704,1977.378,3593.659,13176.749,104.343,382.5911,2.9,-0.74,0.0375,4.006,34.606,1.871,23.41,1979.7,Sandy,1.764,146.4,-39.019365,0.923788,12.34,roadside,25.26,none,DD,0.477,36.65,0,0.066,Hybrid-synthetic (modeled from literature distributions)
R000052,Tectona grandis var5,Teak (var5),tree,South America,Brazil,2011,6.046,45.155,0.556,686.025,181.711,407.836,1495.398,14.8443,54.4292,3.64,1.82,0.01,3.077,1.0,0.749,23.6,2724.6,Peaty,1.787,1009.4,14.8675,9.734927,55.48,garden,26.66,high,NT,0.363,5.72,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000053,Ficus benjamina var6,Weeping fig (var6),tree,Europe,France,2001,3.799,30.505,0.41,144.783,46.929,90.104,330.383,3.5368,12.9684,3.93,-1.75,0.0174,0.838,85.146,2.11,7.65,795.4,Clay,1.204,422.6,28.482849,-8.633473,40.66,campus,24.14,low,DD,0.296,0.07,0,0.113,Hybrid-synthetic (modeled from literature distributions)
R000054,Jacaranda mimosifolia var5,Jacaranda (var5),tree,Europe,Italy,2013,1.5,40.698,0.575,142.82,49.03,90.169,330.621,7.723,28.3178,8.57,-0.91,0.0302,2.197,91.596,1.016,7.07,1447.2,Peaty,2.742,128.9,-51.34988,-154.347578,37.89,garden,10.37,low,NT,0.515,29.22,0,0.163,Hybrid-synthetic (modeled from literature distributions)
R000055,Prunus africana var3,African cherry (var3),tree,North America,United States,2005,3.917,15.568,0.694,65.89,19.715,40.234,147.526,1.8936,6.9431,4.71,1.11,0.01,2.212,31.944,1.151,4.75,1339.8,Chalky,3.311,703.6,37.412375,56.332299,12.35,green_roof,14.11,high,DD,0.41,26.56,0,0.444,Hybrid-synthetic (modeled from literature distributions)
R000056,Betula pendula var8,Silver birch (var8),tree,Europe,Germany,2022,10.738,23.104,0.396,227.127,60.146,135.019,495.068,4.4664,16.3767,3.31,-0.17,0.0246,5.467,5.872,1.323,14.89,1058.1,Sandy,1.833,133.4,27.117589,114.402719,20.86,natural_forest,17.21,none,EN,0.696,17.03,1,0.103,Hybrid-synthetic (modeled from literature distributions)
R000057,Salix babylonica var2,Weeping willow (var2),tree,Asia,Philippines,2011,19.43,35.425,0.587,1431.459,413.05,866.919,3178.704,73.9347,271.0938,8.53,-2.9,0.0294,5.043,1.0,1.563,23.64,1740.1,Clay,2.478,0.0,-17.353852,102.165042,22.77,campus,34.24,low,LC,0.77,19.2,0,0.38,Hybrid-synthetic (modeled from literature distributions)
R000058,Milicia excelsa var3,Iroko (var3),tree,North America,Canada,2008,5.362,25.916,0.452,162.628,53.911,101.773,373.169,6.4438,23.6271,6.33,2.62,0.01,5.072,34.015,1.68,-3.09,137.2,Loam-Clay,1.448,1031.3,-50.753007,-158.921665,60.68,roadside,22.2,moderate,VU,0.162,21.56,0,0.119,Hybrid-synthetic (modeled from literature distributions)
R000059,Lavandula angustifolia var5,Lavender (var5),flower,North America,Mexico,2017,0.879,0.0,,0.246,0.054,0.141,0.515,0.0251,0.092,17.85,-2.24,0.0735,0.2,0.82,0.135,9.92,1140.0,Clay,2.19,0.0,-19.858645,-170.569185,24.4,urban_park,0.73,none,VU,0.673,22.89,0,0.032,Hybrid-synthetic (modeled from literature distributions)
R000060,Prunus africana var4,African cherry (var4),tree,South America,Argentina,2001,8.833,50.429,0.322,724.42,247.101,456.615,1674.254,24.1275,88.4676,5.28,1.83,0.012,3.204,31.359,0.5,12.98,200.0,Sandy,3.772,386.2,-30.362544,146.251649,56.48,natural_forest,18.61,moderate,DD,0.246,11.0,0,0.083,Hybrid-synthetic (modeled from literature distributions)
R000061,Ginkgo biloba,Ginkgo (common),tree,North America,Mexico,2016,7.181,64.854,0.517,1562.903,327.905,888.68,3258.492,10.4192,38.2037,1.17,-0.07,0.01,2.369,49.439,1.581,2.79,1023.5,Sandy,2.702,443.7,13.023273,-54.177706,46.81,natural_forest,13.63,low,VU,0.269,0.0,0,0.204,Hybrid-synthetic (modeled from literature distributions)
R000062,Ficus benjamina var7,Weeping fig (var7),tree,Oceania,New Zealand,2000,9.439,24.163,0.626,344.987,98.04,208.223,763.483,10.5611,38.7242,5.07,2.75,0.0304,2.461,9.367,1.549,18.71,816.5,Peaty,2.086,51.7,-53.765211,103.060152,10.0,campus,16.75,moderate,EN,0.546,32.57,0,0.087,Hybrid-synthetic (modeled from literature distributions)
R000063,Grevillea robusta var4,Silk oak (var4),tree,Oceania,New Zealand,2019,7.746,24.791,0.689,328.213,91.213,197.13,722.81,6.4471,23.6393,3.27,0.97,0.01,2.078,62.923,1.298,21.53,961.1,Clay,5.193,245.9,-12.483543,149.432425,39.25,roadside,32.84,moderate,CR,0.814,30.73,0,0.314,Hybrid-synthetic (modeled from literature distributions)
R000064,Casuarina equisetifolia var7,Casuarina (var7),tree,Oceania,New Zealand,2010,6.922,22.129,0.674,228.321,75.021,142.571,522.759,3.8647,14.1705,2.71,5.18,0.0245,2.681,69.337,1.063,21.04,900.2,Silty,1.264,0.0,26.322435,140.492899,29.17,residential_yard,12.48,low,NT,0.869,16.28,0,0.334,Hybrid-synthetic (modeled from literature distributions)
R000065,Prunus domestica var8,Plum (var8),tree,Oceania,New Zealand,2021,7.168,46.929,0.583,919.544,258.501,553.681,2030.164,40.3788,148.0555,7.29,0.81,0.0182,3.365,9.738,2.412,9.51,696.1,Chalky,1.977,689.1,14.511428,-53.145019,15.69,garden,65.25,moderate,EN,0.527,28.15,0,0.062,Hybrid-synthetic (modeled from literature distributions)
R000066,Chrysanthemum morifolium,Chrysanthemum (common),flower,Africa,Tanzania,2009,0.59,0.0,,0.06,0.012,0.034,0.123,0.0101,0.037,29.95,-1.93,0.2786,1.162,0.978,0.05,20.96,1211.0,Loam,3.013,1625.5,-28.765577,146.590211,4.05,natural_forest,33.33,moderate,EN,0.876,19.24,0,0.24,Hybrid-synthetic (modeled from literature distributions)
R000067,Cordia africana var3,Cordia (var3),tree,North America,Mexico,2006,12.901,5.0,0.277,8.926,2.943,5.578,20.454,0.2105,0.7719,3.77,-0.59,0.025,0.5,83.897,1.072,12.52,1254.7,Peaty,2.513,182.3,11.802898,-72.994389,16.48,community_garden,20.7,low,DD,0.334,5.54,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000068,Delonix regia var4,Flame tree (var4),tree,Europe,Italy,2021,17.702,69.212,0.537,4557.595,1454.724,2825.79,10361.231,61.1933,224.3756,2.17,-1.93,0.0205,2.797,53.325,1.126,12.09,1149.1,Chalky,2.642,303.0,11.003659,72.948158,16.76,green_roof,18.13,none,NT,0.778,33.05,0,0.0,Hybrid-synthetic (modeled from literature distributions)
R000069,Casuarina equisetifolia var7,Casuarina (var7),tree,Asia,China,2004,12.181,29.868,0.262,284.351,84.689,173.449,635.979,14.2881,52.3896,8.24,-1.16,0.0107,3.148,72.059,1.535,22.97,754.5,Sandy,1.388,0.0,8.645837,4.560381,27.79,urban_park,20.42,low,EN,0.182,5.31,0,0.315,Hybrid-synthetic (modeled from literature distributions)
R000070,Grevillea robusta var6,Silk oak (var6),tree,North America,Canada,2020,11.039,48.427,0.576,1490.108,323.466,852.38,3125.393,33.6997,123.5657,3.95,-1.78,0.0361,2.098,54.142,0.5,7.81,573.6,Peaty,0.142,0.0,-46.261483,-41.818002,41.07,campus,28.28,high,EN,0.749,13.45,0,0.009,Hybrid-synthetic (modeled from literature distributions)
R000071,Citrus sinensis var5,Orange tree (var5),tree,Asia,China,2020,10.159,65.428,0.491,2135.622,449.871,1215.182,4455.668,62.0332,227.4552,5.1,-1.29,0.01,2.73,24.0,1.635,29.05,1140.8,Chalky,2.708,309.4,-1.679941,27.791959,26.39,urban_park,11.34,none,EN,0.601,4.55,0,0.0,Hybrid-synthetic (modeled from literature distributions)
